feature,ic_2025-11,n_2025-11,ic_2025-12,n_2025-12,ic_2026-01,n_2026-01,ic_2026-02,n_2026-02,ic_2026-03,n_2026-03,ic_2026-04,n_2026-04,early_avg,late_avg,ic_drop,early_signed,late_signed,sign_flip
impact_asymmetry,0.0014795707229650276,635,0.015216056315784227,679,-0.07726307622277663,681,-0.08212117885094972,619,-0.06813303842633503,699,0.11009364163496267,278,0.03131956775384196,0.08911334003064886,-0.0577937722768069,-0.020189149728009125,0.02098030160431382,False
weekday_cos,-0.0191788502435616,720,0.1937820209203115,744,0.058049820479154926,744,0.04668960331931718,672,0.14838398017773527,744,0.1554542941345293,300,0.09033689721434267,0.15191913715613228,-0.061582239941789615,0.07755099705196827,0.15191913715613228,False
cg_ls_ratio_zscore,0.12127560045447618,720,-0.10332207917615724,744,-0.005041846874501919,744,-0.026547722124172078,672,-0.05026255005584343,744,0.23406126734741495,300,0.07654650883504512,0.1421619087016292,-0.06561539986658409,0.004303891467939007,0.09189935864578576,False
cg_gls_ratio_zscore,0.13066182395752615,720,-0.08601236568366893,744,-0.017300593225302363,744,-0.005018892271346416,672,-0.05765818345839949,744,0.24453693929932552,300,0.07799159428883248,0.1510975613788625,-0.07310596709003,0.009116288349518284,0.09343937792046302,False
cg_oi_close_pctchg_24h,-0.04243153761227677,720,0.07881973835614324,744,0.025082687023025324,744,-0.16255202729699114,672,0.09584940428337865,744,-0.16315381282014246,300,0.04877798766381511,0.12950160855176057,-0.08072362088794546,0.020490295922297265,-0.033652204268381905,False
cg_oi_agg_delta_zscore,-0.003309741466836677,720,-0.007003724157664652,744,-0.018789527835317697,744,0.04298145950704838,672,-0.0647282845127082,744,0.11793997711085678,300,0.009700997819939676,0.09133413081178249,-0.08163313299184281,-0.009700997819939676,0.02660584629907429,False
impact_asymmetry_zscore,0.029255523316712956,635,0.01746842702047519,679,0.018782615039375526,681,-0.03667690884795952,619,-0.025054820728050188,699,0.21429778268918573,278,0.021835521792187892,0.11967630170861795,-0.09784077991643006,0.021835521792187892,0.09462148098056777,False
cg_oi_cm_delta,,0,,0,,0,,0,-0.0476498145770221,694,-0.0999508883432038,300,,0.07380035146011295,,,-0.07380035146011295,False
cg_oi_cm_delta_zscore,,0,,0,,0,,0,-0.04403458242604353,691,-0.060537561528461424,300,,0.05228607197725248,,,-0.05228607197725248,False
cg_oi_cm_vs_usd,,0,,0,,0,,0,0.03477716317753158,695,-0.128891654351715,300,,0.08183440876462329,,,-0.04705724558709172,False
